"","product","helpful_count","total_comments","url","review_country","reviewed_at","review_text","review_rating","product_company","profile_name","review_title","review"
"1","Apple iPhone XR (64GB) - Black",5087,24,"url 1","India",2018-12-12,"NOTE:","3 stars","Apple","Sameer Patil","Which iPhone you should Purchase ? iPhone 8, X, XS, XR ?",3
"2","Apple iPhone XR (64GB) - Black",2822,6,"url 1","India",2018-11-17,"Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.","1 star","Apple","Amazon Customer","Don't buy iPhone xr from Amazon.",1
"3","Apple iPhone XR (64GB) - Black",1798,0,"url 1","India",2019-01-27,"Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon","5 stars","Apple","A","Happy with the purchase",5
"4","Apple iPhone XR (64GB) - Black",1366,14,"url 1","India",2019-05-02,"So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and theres a glitch in the front cameras portrait mode. Thats fine, it may happen. But whats not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!","1 star","Apple","Shubham Dutta","Amazon is not an apple authorised reseller. Please take a note.",1
"5","Apple iPhone XR (64GB) - Black",536,5,"url 1","India",2019-05-24,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.","5 stars","Apple","Nepuni Lokho","Excellent Battery life and buttery smooth UI",5
"6","Apple iPhone XR (64GB) - Black",313,2,"url 1","India",2019-04-22,"I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online","1 star","Apple","Anand S Prasad","Never purchase a phone online.",1
"7","Apple iPhone XR (64GB) - Black",189,3,"url 1","India",2018-12-07,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and Im very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.","5 stars","Apple","Srikanth Jatla","Awesome iPhone",5
"8","Apple iPhone XR (64GB) - Black",164,1,"url 1","India",2018-11-25,"The phone is hanging. Video quality is not very good.","1 star","Apple","KAILASH C.","Exchange of I phone xr with xs.",1
"9","Apple iPhone XR (64GB) - Black",124,1,"url 1","India",2019-04-27,"I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.","4 stars","Apple","LDM","Worth upgrading from the 6S? I'll know in a few months",4
"10","Apple iPhone XR (64GB) - Black",94,0,"url 1","India",2019-04-21,"Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.","1 star","Apple","Amazon Customer","Def a bad experience",1
